,zipcode,N1,agi_stub
247,35083,340.0,2
248,35083,220.0,3
249,35083,140.0,4
250,35083,130.0,5
251,35083,20.0,6
252,35085,1290.0,1
253,35085,990.0,2
254,35085,580.0,3
255,35085,300.0,4
256,35085,380.0,5
257,35085,50.0,6
258,35087,370.0,1
259,35087,260.0,2
260,35087,140.0,3
261,35087,70.0,4
262,35087,90.0,5
263,35087,0.0,6
264,35089,290.0,1
265,35089,260.0,2
266,35089,110.0,3
267,35089,40.0,4
268,35089,40.0,5
269,35089,0.0,6
270,35091,330.0,1
271,35091,270.0,2
272,35091,200.0,3
273,35091,190.0,4
274,35091,390.0,5
275,35091,50.0,6
276,35094,2190.0,1
277,35094,1720.0,2
278,35094,1020.0,3
279,35094,650.0,4
280,35094,910.0,5
281,35094,200.0,6
282,35096,1290.0,1
283,35096,1150.0,2
284,35096,590.0,3
285,35096,380.0,4
286,35096,460.0,5
287,35096,100.0,6
288,35097,260.0,1
289,35097,200.0,2
290,35097,120.0,3
291,35097,100.0,4
292,35097,100.0,5
293,35097,0.0,6
294,35098,220.0,1
295,35098,170.0,2
296,35098,90.0,3
297,35098,60.0,4
298,35098,70.0,5
299,35098,0.0,6
300,35111,1980.0,1
301,35111,1770.0,2
302,35111,1340.0,3
303,35111,980.0,4
304,35111,1450.0,5
305,35111,210.0,6
306,35114,980.0,1
307,35114,680.0,2
308,35114,450.0,3
309,35114,350.0,4
310,35114,700.0,5
311,35114,130.0,6
312,35115,2390.0,1
313,35115,1680.0,2
314,35115,850.0,3
315,35115,450.0,4
316,35115,550.0,5
317,35115,100.0,6
318,35116,580.0,1
319,35116,440.0,2
320,35116,340.0,3
321,35116,250.0,4
322,35116,420.0,5
323,35116,80.0,6
324,35117,740.0,1
325,35117,640.0,2
326,35117,470.0,3
327,35117,340.0,4
328,35117,520.0,5
329,35117,90.0,6
330,35118,480.0,1
331,35118,380.0,2
332,35118,210.0,3
333,35118,140.0,4
334,35118,160.0,5
335,35118,0.0,6
336,35120,2130.0,1
337,35120,1820.0,2
338,35120,1210.0,3
339,35120,810.0,4
340,35120,1000.0,5
341,35120,110.0,6
342,35121,2260.0,1
343,35121,1650.0,2
344,35121,970.0,3
345,35121,570.0,4
346,35121,750.0,5
347,35121,150.0,6
348,35124,3320.0,1
349,35124,2560.0,2
350,35124,1830.0,3
351,35124,1260.0,4
352,35124,2440.0,5
353,35124,820.0,6
354,35125,1800.0,1
355,35125,1270.0,2
356,35125,680.0,3
357,35125,430.0,4
358,35125,430.0,5
359,35125,70.0,6
360,35126,3160.0,1
361,35126,2750.0,2
362,35126,1670.0,3
363,35126,1030.0,4
364,35126,1160.0,5
365,35126,120.0,6
366,35127,1520.0,1
367,35127,1410.0,2
368,35127,850.0,3
369,35127,410.0,4
370,35127,510.0,5
371,35127,60.0,6
372,35128,1480.0,1
373,35128,1070.0,2
374,35128,640.0,3
375,35128,490.0,4
376,35128,770.0,5
377,35128,200.0,6
378,35130,480.0,1
379,35130,370.0,2
380,35130,190.0,3
381,35130,130.0,4
382,35130,130.0,5
383,35130,0.0,6
384,35131,590.0,1
385,35131,470.0,2
386,35131,250.0,3
387,35131,160.0,4
388,35131,150.0,5
389,35131,0.0,6
390,35133,580.0,1
391,35133,450.0,2
392,35133,280.0,3
393,35133,190.0,4
394,35133,230.0,5
395,35133,0.0,6
396,35135,240.0,1
397,35135,230.0,2
398,35135,140.0,3
399,35135,100.0,4
400,35135,140.0,5
401,35135,20.0,6
402,35136,250.0,1
403,35136,180.0,2
404,35136,110.0,3
405,35136,70.0,4
406,35136,90.0,5
407,35136,0.0,6
408,35143,490.0,1
409,35143,340.0,2
410,35143,190.0,3
411,35143,110.0,4
412,35143,200.0,5
413,35143,60.0,6
414,35146,1460.0,1
415,35146,1110.0,2
416,35146,800.0,3
417,35146,640.0,4
418,35146,1010.0,5
419,35146,190.0,6
420,35147,680.0,1
421,35147,500.0,2
422,35147,400.0,3
423,35147,260.0,4
424,35147,470.0,5
425,35147,110.0,6
426,35148,420.0,1
427,35148,300.0,2
428,35148,160.0,3
429,35148,100.0,4
430,35148,100.0,5
431,35148,0.0,6
432,35150,3220.0,1
433,35150,2100.0,2
434,35150,900.0,3
435,35150,540.0,4
436,35150,600.0,5
437,35150,90.0,6
438,35151,1080.0,1
439,35151,790.0,2
440,35151,500.0,3
441,35151,290.0,4
442,35151,400.0,5
443,35151,60.0,6
444,35160,4200.0,1
445,35160,3050.0,2
446,35160,1330.0,3
447,35160,680.0,4
448,35160,710.0,5
449,35160,150.0,6
450,35171,470.0,1
451,35171,380.0,2
452,35171,210.0,3
453,35171,160.0,4
454,35171,200.0,5
455,35171,20.0,6
456,35172,450.0,1
457,35172,350.0,2
458,35172,200.0,3
459,35172,100.0,4
460,35172,110.0,5
461,35172,0.0,6
462,35173,3250.0,1
463,35173,2380.0,2
464,35173,1910.0,3
465,35173,1600.0,4
466,35173,3510.0,5
467,35173,1160.0,6
468,35175,720.0,1
469,35175,560.0,2
470,35175,350.0,3
471,35175,220.0,4
472,35175,350.0,5
473,35175,70.0,6
474,35176,120.0,1
475,35176,100.0,2
476,35176,50.0,3
477,35176,30.0,4
478,35176,40.0,5
479,35176,0.0,6
480,35178,580.0,1
481,35178,500.0,2
482,35178,240.0,3
483,35178,140.0,4
484,35178,150.0,5
485,35178,30.0,6
486,35179,1350.0,1
487,35179,1120.0,2
488,35179,630.0,3
489,35179,410.0,4
490,35179,500.0,5
491,35179,100.0,6
492,35180,1670.0,1
493,35180,1440.0,2
494,35180,990.0,3
495,35180,710.0,4
496,35180,990.0,5
497,35180,140.0,6
498,35183,110.0,1
499,35183,90.0,2
500,35183,40.0,3
501,35183,20.0,4
502,35183,40.0,5
503,35183,0.0,6
504,35184,780.0,1
505,35184,670.0,2
506,35184,360.0,3
507,35184,220.0,4
508,35184,230.0,5
509,35184,20.0,6
510,35186,690.0,1
511,35186,440.0,2
512,35186,310.0,3
513,35186,240.0,4
514,35186,420.0,5
515,35186,130.0,6
516,35188,380.0,1
517,35188,300.0,2
518,35188,190.0,3
519,35188,160.0,4
520,35188,200.0,5
